epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1479.94,0.44715,0.25237,0.81262,0.99548,0.99551,0.99362,0.91878,0.42539,0.20844,0.80316,0.000312497,0.000312497,0.000312497
43,1514.97,0.44454,0.2543,0.81276,0.99463,0.99529,0.99342,0.91978,0.42218,0.20431,0.80272,0.000307289,0.000307289,0.000307289
44,1550.05,0.4439,0.25097,0.81209,0.99489,0.99627,0.99329,0.9209,0.4241,0.20675,0.80341,0.000302082,0.000302082,0.000302082
45,1585.17,0.44335,0.24829,0.8122,0.99461,0.99608,0.99331,0.92124,0.41696,0.19911,0.80156,0.000296874,0.000296874,0.000296874
46,1620.12,0.4394,0.2456,0.80999,0.995,0.99567,0.99326,0.91766,0.43487,0.21036,0.80568,0.000291667,0.000291667,0.000291667
47,1655.05,0.43903,0.24692,0.80941,0.99585,0.99745,0.99396,0.92256,0.41796,0.20225,0.80107,0.00028646,0.00028646,0.00028646
48,1690.11,0.43979,0.24944,0.80981,0.99436,0.99706,0.9941,0.92281,0.41523,0.20021,0.80108,0.000281252,0.000281252,0.000281252
49,1725.23,0.43274,0.24338,0.80951,0.99545,0.99706,0.99354,0.92111,0.42107,0.20076,0.80252,0.000276045,0.000276045,0.000276045
50,1760.29,0.4374,0.24368,0.8118,0.99499,0.99583,0.99307,0.92292,0.41846,0.19722,0.80125,0.000270837,0.000270837,0.000270837
51,1795.42,0.43227,0.2432,0.80876,0.99393,0.99533,0.99311,0.91986,0.42451,0.19857,0.80223,0.00026563,0.00026563,0.00026563
52,1830.47,0.43628,0.24243,0.81067,0.99311,0.99685,0.99295,0.923,0.41895,0.19676,0.80243,0.000260423,0.000260423,0.000260423
53,1865.59,0.43346,0.24374,0.808,0.9943,0.99628,0.99363,0.9221,0.41772,0.19674,0.80113,0.000255215,0.000255215,0.000255215
54,1900.63,0.42772,0.23586,0.80874,0.99543,0.99643,0.99346,0.92164,0.42216,0.19674,0.80232,0.000250008,0.000250008,0.000250008
55,1935.78,0.43076,0.23868,0.80817,0.99529,0.99706,0.99391,0.92344,0.41547,0.1942,0.80081,0.0002448,0.0002448,0.0002448
56,1970.9,0.4288,0.2372,0.8081,0.99573,0.99615,0.99345,0.92512,0.4094,0.19342,0.79907,0.000239593,0.000239593,0.000239593
57,2005.95,0.42647,0.2391,0.80743,0.99532,0.99584,0.99342,0.92141,0.41643,0.19949,0.80074,0.000234386,0.000234386,0.000234386
58,2041.1,0.42563,0.23558,0.80841,0.99516,0.99711,0.99368,0.92361,0.41529,0.1941,0.80054,0.000229178,0.000229178,0.000229178
59,2076.2,0.42392,0.2351,0.80937,0.99533,0.99588,0.99321,0.92274,0.41894,0.19778,0.80101,0.000223971,0.000223971,0.000223971
60,2111.25,0.42081,0.23273,0.8077,0.99585,0.99704,0.99395,0.92456,0.4115,0.1911,0.79962,0.000218763,0.000218763,0.000218763
61,2146.3,0.42838,0.2346,0.80655,0.99653,0.99639,0.99409,0.92664,0.40792,0.1923,0.79901,0.000213556,0.000213556,0.000213556
62,2181.4,0.41863,0.23058,0.80771,0.99587,0.99779,0.99455,0.9244,0.4128,0.1907,0.80019,0.000208349,0.000208349,0.000208349
63,2216.45,0.41571,0.22727,0.80621,0.99538,0.99627,0.99372,0.92261,0.41633,0.19388,0.8009,0.000203141,0.000203141,0.000203141
64,2251.52,0.41967,0.22929,0.80674,0.99523,0.99706,0.99395,0.92611,0.40749,0.18679,0.79934,0.000197934,0.000197934,0.000197934
65,2286.59,0.41439,0.22836,0.80493,0.99532,0.99686,0.99403,0.92582,0.40914,0.19022,0.79889,0.000192726,0.000192726,0.000192726
66,2321.67,0.41464,0.22762,0.8065,0.99587,0.99718,0.99364,0.92498,0.40946,0.18901,0.79944,0.000187519,0.000187519,0.000187519
67,2356.79,0.41513,0.22825,0.80508,0.99519,0.99627,0.99368,0.92764,0.40592,0.18827,0.79818,0.000182312,0.000182312,0.000182312
68,2392,0.40881,0.22444,0.80505,0.99561,0.99608,0.99345,0.92437,0.41258,0.18998,0.80101,0.000177104,0.000177104,0.000177104
69,2427.03,0.40898,0.22253,0.80354,0.99618,0.99686,0.99406,0.92413,0.41289,0.18949,0.7999,0.000171897,0.000171897,0.000171897
70,2462.07,0.41379,0.22517,0.8034,0.9959,0.99686,0.99412,0.92681,0.40842,0.18932,0.79875,0.000166689,0.000166689,0.000166689
71,2497.14,0.40845,0.22105,0.80558,0.99586,0.997,0.99388,0.92701,0.40719,0.18613,0.79878,0.000161482,0.000161482,0.000161482
72,2532.2,0.40754,0.22118,0.8032,0.99647,0.99592,0.99372,0.92569,0.40887,0.187,0.79978,0.000156275,0.000156275,0.000156275
73,2567.23,0.4071,0.22038,0.80477,0.99471,0.99627,0.99299,0.92649,0.40899,0.18652,0.79909,0.000151067,0.000151067,0.000151067
74,2602.47,0.40429,0.21789,0.80493,0.99608,0.99627,0.99361,0.92602,0.41101,0.18405,0.79982,0.00014586,0.00014586,0.00014586
75,2637.58,0.40145,0.21477,0.8027,0.99565,0.99653,0.99363,0.9263,0.40976,0.18279,0.79933,0.000140652,0.000140652,0.000140652
76,2672.57,0.40074,0.21784,0.80348,0.99617,0.99588,0.99326,0.92706,0.40657,0.18337,0.7988,0.000135445,0.000135445,0.000135445
77,2707.6,0.40029,0.21459,0.80429,0.99603,0.99745,0.99292,0.92614,0.40624,0.18514,0.79775,0.000130238,0.000130238,0.000130238
78,2742.84,0.39653,0.21179,0.80304,0.99643,0.99639,0.99392,0.92733,0.40389,0.18109,0.79768,0.00012503,0.00012503,0.00012503
79,2777.86,0.39792,0.21196,0.8028,0.99606,0.99627,0.9931,0.92509,0.40652,0.18324,0.79885,0.000119823,0.000119823,0.000119823
80,2812.88,0.39435,0.2121,0.80152,0.99438,0.99647,0.99309,0.92769,0.40442,0.18406,0.79816,0.000114615,0.000114615,0.000114615
81,2848,0.39287,0.21095,0.80152,0.99491,0.99686,0.99351,0.92585,0.40697,0.18237,0.79903,0.000109408,0.000109408,0.000109408
82,2883.15,0.39045,0.20808,0.80082,0.99571,0.99659,0.99338,0.92661,0.40395,0.18068,0.79836,0.000104201,0.000104201,0.000104201
83,2918.22,0.38972,0.2077,0.80025,0.99522,0.99686,0.99349,0.92831,0.40554,0.1802,0.7985,9.89932e-05,9.89932e-05,9.89932e-05
84,2953.35,0.38706,0.20589,0.80203,0.99536,0.99738,0.9938,0.92646,0.40412,0.18062,0.79827,9.37858e-05,9.37858e-05,9.37858e-05
85,2988.41,0.38515,0.20339,0.80035,0.99512,0.99686,0.9931,0.92745,0.40457,0.18025,0.7983,8.85784e-05,8.85784e-05,8.85784e-05
86,3023.45,0.385,0.20236,0.80108,0.99624,0.99706,0.99263,0.92619,0.40461,0.18007,0.79882,8.3371e-05,8.3371e-05,8.3371e-05
87,3058.54,0.3833,0.20211,0.79941,0.99588,0.99686,0.99346,0.9273,0.40469,0.17885,0.79878,7.81636e-05,7.81636e-05,7.81636e-05
88,3093.64,0.38316,0.20054,0.79964,0.99577,0.99708,0.99309,0.92717,0.40405,0.17826,0.79907,7.29562e-05,7.29562e-05,7.29562e-05
89,3128.75,0.37889,0.19953,0.79985,0.99665,0.99692,0.99396,0.9276,0.40371,0.17684,0.79973,6.77488e-05,6.77488e-05,6.77488e-05
90,3163.89,0.37908,0.1975,0.80001,0.9954,0.99706,0.9929,0.92561,0.40737,0.17861,0.80107,6.25414e-05,6.25414e-05,6.25414e-05
91,3206.47,0.36893,0.17557,0.79959,0.99489,0.99608,0.99275,0.92527,0.40598,0.17871,0.80004,5.7334e-05,5.7334e-05,5.7334e-05
92,3241.54,0.36281,0.17254,0.799,0.99456,0.99636,0.99176,0.92634,0.40679,0.17744,0.80071,5.21266e-05,5.21266e-05,5.21266e-05
93,3276.54,0.36257,0.1709,0.79923,0.99531,0.99629,0.99231,0.92538,0.40636,0.17797,0.8006,4.69192e-05,4.69192e-05,4.69192e-05
94,3311.57,0.3577,0.16879,0.79483,0.99474,0.99609,0.99159,0.92548,0.40729,0.17846,0.80087,4.17118e-05,4.17118e-05,4.17118e-05
95,3346.63,0.3583,0.16851,0.79645,0.99535,0.99577,0.99193,0.92529,0.40746,0.17734,0.80117,3.65044e-05,3.65044e-05,3.65044e-05
96,3381.63,0.356,0.16637,0.79727,0.99514,0.99529,0.99249,0.92575,0.40833,0.17594,0.80316,3.1297e-05,3.1297e-05,3.1297e-05
97,3416.62,0.35183,0.16458,0.79647,0.99662,0.99529,0.99294,0.92693,0.40702,0.1744,0.80273,2.60896e-05,2.60896e-05,2.60896e-05
98,3451.63,0.35147,0.16369,0.79571,0.99621,0.99494,0.99228,0.92624,0.40818,0.1741,0.80363,2.08822e-05,2.08822e-05,2.08822e-05
99,3486.6,0.34967,0.16281,0.79645,0.9947,0.99523,0.99187,0.92589,0.40893,0.17498,0.80347,1.56748e-05,1.56748e-05,1.56748e-05
100,3521.57,0.34847,0.16166,0.79494,0.99576,0.9951,0.99225,0.92631,0.40966,0.17386,0.80386,1.04674e-05,1.04674e-05,1.04674e-05
